nm,n,k,wl
1536.52417,1,0.106779,1.53652417
1539.998413,1,0.106404,1.539998413
1543.473389,1,0.106036,1.543473389
1546.948975,1,0.105673,1.546948975
1550.425171,1,0.105316,1.550425171
1553.9021,1,0.104963,1.5539021
1557.379639,1,0.104615,1.557379639
1560.85791,1,0.104271,1.56085791
1564.336792,1,0.10393,1.564336792
1567.816528,1,0.103592,1.567816528
1571.296753,1,0.103258,1.571296753
1574.777588,1,0.102925,1.574777588
1578.259277,1,0.102594,1.578259277
1581.741577,1,0.102265,1.581741577
1585.224487,1,0.101938,1.585224487
1588.708252,1,0.101611,1.588708252
1592.192505,1,0.101285,1.592192505
1595.67749,1,0.100959,1.59567749
1599.163086,1,0.100633,1.599163086
1602.649414,1,0.100307,1.602649414
1606.136475,1,0.09998,1.606136475
1609.624023,1,0.099652,1.609624023
1613.112427,1,0.099323,1.613112427
1616.601318,1,0.098992,1.616601318
1620.091064,1,0.098659,1.620091064
1623.581299,1,0.098325,1.623581299
1627.072388,1,0.097988,1.627072388
1630.564087,1,0.097648,1.630564087
1634.056396,1,0.097305,1.634056396
1637.549561,1,0.09696,1.637549561
1641.043213,1,0.096611,1.641043213
1644.537476,1,0.096259,1.644537476
1648.032593,1,0.095902,1.648032593
1651.52832,1,0.095542,1.65152832
1655.024658,1,0.095178,1.655024658
1658.521729,1,0.094809,1.658521729
1662.019531,1,0.094435,1.662019531
1665.517944,1,0.094057,1.665517944
1669.016968,1,0.093674,1.669016968
1672.516846,1,0.093286,1.672516846
1676.017212,1,0.092892,1.676017212
1679.518188,1,0.092493,1.679518188
1683.019897,1,0.092088,1.683019897
1686.522461,1,0.091677,1.686522461
